City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
mabaruma,gy,"04/19/2020, 11:06:34",8.2,-59.78,84.85,67,36,8.57,light rain,1.36,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
meiganga,cm,"04/19/2020, 11:06:35",6.52,14.3,69.35,65,96,1.01,light rain,2.58,0.0
severo-yeniseyskiy,ru,"04/19/2020, 11:06:35",60.37,93.04,26.1,90,0,6.13,clear sky,0.0,0.0
oranjemund,na,"04/19/2020, 11:06:35",-28.55,16.43,61.5,87,0,1.81,clear sky,0.0,0.0
carnarvon,za,"04/19/2020, 11:05:51",-24.87,113.63,73.4,78,38,10.29,scattered clouds,0.0,0.0
puerto ayora,ec,"04/19/2020, 11:04:36",-0.74,-90.35,84.2,74,40,14.99,shower rain,0.0,0.0
mugur-aksy,ru,"04/19/2020, 11:06:36",50.35,90.5,32.7,36,0,1.12,clear sky,0.0,0.0
tasiilaq,gl,"04/19/2020, 11:06:36",65.61,-37.64,32.0,93,99,25.28,light snow,0.0,0.43
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
jamestown,sh,"04/19/2020, 11:03:06",42.1,-79.24,51.8,50,75,18.34,broken clouds,0.0,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
bengkulu,id,"04/19/2020, 11:05:23",-3.8,102.27,78.82,81,100,3.74,overcast clouds,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
dongying,cn,"04/19/2020, 11:06:38",37.46,118.49,58.55,57,43,16.24,scattered clouds,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
provideniya,ru,"04/19/2020, 11:03:12",64.38,-173.3,18.32,94,98,15.28,light snow,0.0,0.43
saint george,bm,"04/19/2020, 11:01:45",37.1,-113.58,66.0,50,1,7.94,clear sky,0.0,0.0
yamethin,mm,"04/19/2020, 11:06:39",20.43,96.15,80.44,35,0,4.63,clear sky,0.0,0.0
puerto ayora,ec,"04/19/2020, 11:04:36",-0.74,-90.35,84.2,74,40,14.99,shower rain,0.0,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
kodiak,us,"04/19/2020, 11:06:30",57.79,-152.41,42.8,87,75,3.36,broken clouds,0.0,0.0
nome,us,"04/19/2020, 11:06:41",64.5,-165.41,34.0,100,90,0.65,fog,0.0,0.0
manfredonia,it,"04/19/2020, 11:06:41",41.63,15.91,68.0,82,75,11.41,broken clouds,0.0,0.0
busselton,au,"04/19/2020, 11:05:56",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
angoram,pg,"04/19/2020, 11:06:41",-4.06,144.07,76.1,92,65,2.35,light rain,0.44,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
tuktoyaktuk,ca,"04/19/2020, 11:05:56",69.45,-133.04,6.8,84,90,14.99,light snow,0.0,0.0
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
kedougou,sn,"04/19/2020, 11:06:42",12.56,-12.17,103.14,13,66,4.27,broken clouds,0.0,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
lorengau,pg,"04/19/2020, 11:03:13",-2.02,147.27,82.11,78,30,5.06,scattered clouds,0.0,0.0
mwanza,mw,"04/19/2020, 11:06:44",-2.52,32.9,69.8,94,75,5.17,broken clouds,0.0,0.0
georgetown,sh,"04/19/2020, 11:06:13",5.41,100.34,82.4,94,20,3.36,few clouds,0.0,0.0
taguisa,ph,"04/19/2020, 11:06:44",6.7,124.04,81.41,77,86,2.91,overcast clouds,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
puerto ayora,ec,"04/19/2020, 11:04:36",-0.74,-90.35,84.2,74,40,14.99,shower rain,0.0,0.0
yatou,cn,"04/19/2020, 11:06:45",37.15,122.38,45.86,91,13,8.7,few clouds,0.0,0.0
changli,cn,"04/19/2020, 11:06:46",39.7,119.15,60.01,30,85,5.99,light rain,1.84,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
bambous virieux,mu,"04/19/2020, 11:06:46",-20.34,57.76,77.0,78,40,11.41,scattered clouds,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
talnakh,ru,"04/19/2020, 11:06:14",69.49,88.4,39.2,69,100,29.08,light rain,0.35,0.0
arraial do cabo,br,"04/19/2020, 11:06:08",-22.97,-42.03,78.8,65,40,9.17,scattered clouds,0.0,0.0
atuona,pf,"04/19/2020, 10:58:35",-9.8,-139.03,82.45,76,92,15.55,light rain,0.32,0.0
pevek,ru,"04/19/2020, 11:05:43",69.7,170.31,4.23,94,100,5.55,light snow,0.0,0.2
wharton,us,"04/19/2020, 11:06:48",29.31,-96.1,77.0,88,90,10.29,light rain,0.0,0.0
east london,za,"04/19/2020, 11:06:01",-33.02,27.91,77.58,64,8,18.14,clear sky,0.0,0.0
olhao,pt,"04/19/2020, 11:06:49",37.03,-7.84,68.0,45,0,19.46,clear sky,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
pijijiapan,mx,"04/19/2020, 11:07:57",15.7,-93.23,88.09,53,81,5.64,light rain,0.66,0.0
kahului,us,"04/19/2020, 11:06:31",20.89,-156.47,72.0,82,1,5.82,clear sky,0.0,0.0
snezhnogorsk,ru,"04/19/2020, 11:07:58",69.19,33.25,35.6,92,75,8.95,broken clouds,0.0,0.0
ilulissat,gl,"04/19/2020, 11:02:31",69.22,-51.1,28.4,58,52,20.8,broken clouds,0.0,0.0
saskylakh,ru,"04/19/2020, 11:04:35",71.92,114.08,15.55,93,0,7.4,clear sky,0.0,0.0
srednekolymsk,ru,"04/19/2020, 11:07:58",67.45,153.68,-8.01,89,5,6.96,clear sky,0.0,0.0
lac-megantic,ca,"04/19/2020, 11:04:17",45.58,-70.88,55.0,36,45,4.0,scattered clouds,0.0,0.0
tuktoyaktuk,ca,"04/19/2020, 11:05:56",69.45,-133.04,6.8,84,90,14.99,light snow,0.0,0.0
constitucion,mx,"04/19/2020, 11:07:59",-35.33,-72.42,68.11,41,57,17.36,broken clouds,0.0,0.0
kota tinggi,my,"04/19/2020, 11:08:00",1.74,103.9,78.8,94,20,1.12,few clouds,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
jumla,np,"04/19/2020, 11:06:18",29.27,82.18,47.53,32,99,2.28,light rain,1.44,0.0
lebu,cl,"04/19/2020, 11:06:34",-37.62,-73.65,61.47,60,100,8.14,overcast clouds,0.0,0.0
butaritari,ki,"04/19/2020, 11:04:38",3.07,172.79,83.07,75,14,12.5,light rain,1.53,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
ostrovnoy,ru,"04/19/2020, 11:04:00",68.05,39.51,30.65,95,97,10.69,light snow,0.0,0.35
carora,ve,"04/19/2020, 11:08:02",10.18,-70.08,91.51,36,46,3.11,light rain,0.92,0.0
barrow,us,"04/19/2020, 11:05:02",71.29,-156.79,8.6,84,90,4.7,light snow,0.0,0.0
astara,ir,"04/19/2020, 11:08:02",38.5,48.67,57.2,100,40,5.82,scattered clouds,0.0,0.0
port elizabeth,za,"04/19/2020, 11:03:18",-33.92,25.57,71.6,73,2,2.24,clear sky,0.0,0.0
wabrzezno,pl,"04/19/2020, 11:08:03",53.28,18.95,50.0,44,1,5.01,clear sky,0.0,0.0
lebu,cl,"04/19/2020, 11:06:34",-37.62,-73.65,61.47,60,100,8.14,overcast clouds,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
nikolskoye,ru,"04/19/2020, 11:08:03",59.7,30.79,39.99,86,75,6.71,broken clouds,0.0,0.0
san patricio,mx,"04/19/2020, 11:06:24",19.22,-104.7,80.6,65,5,5.82,clear sky,0.0,0.0
avera,pf,"04/19/2020, 11:06:02",33.19,-82.53,50.0,92,90,9.17,moderate rain,0.0,0.0
qaanaaq,gl,"04/19/2020, 11:03:23",77.48,-69.36,17.53,89,68,8.03,broken clouds,0.0,0.0
provideniya,ru,"04/19/2020, 11:03:12",64.38,-173.3,18.32,94,98,15.28,light snow,0.0,0.43
bluff,nz,"04/19/2020, 11:03:26",-46.6,168.33,44.01,83,97,5.01,light rain,1.66,0.0
jamestown,sh,"04/19/2020, 11:03:06",42.1,-79.24,51.8,50,75,18.34,broken clouds,0.0,0.0
saint-philippe,re,"04/19/2020, 11:05:55",-21.36,55.77,75.2,78,14,14.99,light rain,0.24,0.0
pisco,pe,"04/19/2020, 11:08:06",-13.7,-76.22,73.4,73,9,10.29,clear sky,0.0,0.0
la ronge,ca,"04/19/2020, 11:08:06",55.1,-105.28,41.0,52,75,18.34,broken clouds,0.0,0.0
burnie,au,"04/19/2020, 11:08:06",-41.07,145.92,54.0,93,100,17.0,moderate rain,4.35,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
avarua,ck,"04/19/2020, 11:02:07",-21.21,-159.78,78.8,78,13,6.93,few clouds,0.0,0.0
zyryanka,ru,"04/19/2020, 11:04:04",65.75,150.85,-7.58,86,24,8.05,few clouds,0.0,0.0
rafai,cf,"04/19/2020, 11:08:08",4.95,23.92,77.9,56,94,4.45,light rain,0.22,0.0
colinas,br,"04/19/2020, 11:08:08",-6.03,-44.25,86.45,65,28,4.59,light rain,2.04,0.0
arlit,ne,"04/19/2020, 11:08:08",18.74,7.39,96.46,8,23,8.95,few clouds,0.0,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
tasiilaq,gl,"04/19/2020, 11:06:36",65.61,-37.64,32.0,93,99,25.28,light snow,0.0,0.43
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
albany,au,"04/19/2020, 11:03:26",42.6,-73.97,61.0,23,1,8.01,clear sky,0.0,0.0
chuy,uy,"04/19/2020, 11:03:08",-33.7,-53.46,72.5,63,0,8.7,clear sky,0.0,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
puerto ayora,ec,"04/19/2020, 11:04:36",-0.74,-90.35,84.2,74,40,14.99,shower rain,0.0,0.0
marabba,sd,"04/19/2020, 11:08:11",12.35,32.18,87.76,11,92,9.01,overcast clouds,0.0,0.0
mount gambier,au,"04/19/2020, 11:07:27",-37.83,140.77,59.0,77,90,16.11,overcast clouds,0.0,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
patuli,in,"04/19/2020, 11:08:12",23.55,88.25,80.92,52,88,8.79,overcast clouds,0.0,0.0
isangel,vu,"04/19/2020, 11:03:09",-19.55,169.27,78.89,84,100,16.4,light rain,1.16,0.0
marang,my,"04/19/2020, 11:08:12",5.21,103.21,84.2,83,20,2.24,few clouds,0.0,0.0
casablanca,ma,"04/19/2020, 11:06:14",33.59,-7.62,66.2,68,40,16.11,scattered clouds,0.0,0.0
tan an,vn,"04/19/2020, 11:08:13",10.53,106.42,82.4,83,20,9.17,few clouds,0.0,0.0
port augusta,au,"04/19/2020, 11:08:13",-32.5,137.77,71.6,60,98,11.41,overcast clouds,0.0,0.0
turukhansk,ru,"04/19/2020, 11:06:14",65.82,87.98,37.99,75,100,15.46,overcast clouds,0.0,0.0
katsuura,jp,"04/19/2020, 11:03:26",35.13,140.3,51.01,78,98,3.0,overcast clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
north bend,us,"04/19/2020, 11:05:07",43.41,-124.22,59.0,62,1,4.7,clear sky,0.0,0.0
chuy,uy,"04/19/2020, 11:03:08",-33.7,-53.46,72.5,63,0,8.7,clear sky,0.0,0.0
hobart,au,"04/19/2020, 11:03:19",-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
jamestown,sh,"04/19/2020, 11:03:06",42.1,-79.24,51.8,50,75,18.34,broken clouds,0.0,0.0
pimentel,pe,"04/19/2020, 11:08:16",-6.84,-79.93,82.4,51,12,18.34,few clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
port alfred,za,"04/19/2020, 11:02:48",-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
kruisfontein,za,"04/19/2020, 11:06:07",-34.0,24.73,75.02,40,31,8.19,scattered clouds,0.0,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
carmen,mx,"04/19/2020, 11:06:20",18.63,-91.83,87.8,58,75,10.29,smoke,0.0,0.0
klyuchi,ru,"04/19/2020, 11:08:18",52.27,79.17,56.35,36,82,5.73,broken clouds,0.0,0.0
cururupu,br,"04/19/2020, 11:07:04",-1.83,-44.87,83.03,81,94,5.48,moderate rain,3.4,0.0
georgetown,sh,"04/19/2020, 11:06:13",5.41,100.34,82.4,94,20,3.36,few clouds,0.0,0.0
port alfred,za,"04/19/2020, 11:02:48",-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.0
hermanus,za,"04/19/2020, 11:03:13",-34.42,19.23,63.0,92,59,1.99,broken clouds,0.0,0.0
narsaq,gl,"04/19/2020, 11:05:50",60.92,-46.05,32.0,87,20,4.7,few clouds,0.0,0.0
saint-philippe,re,"04/19/2020, 11:05:55",-21.36,55.77,75.2,78,14,14.99,light rain,0.24,0.0
qaanaaq,gl,"04/19/2020, 11:03:23",77.48,-69.36,17.53,89,68,8.03,broken clouds,0.0,0.0
indiana,us,"04/19/2020, 11:08:21",40.0,-86.25,59.0,62,1,5.82,clear sky,0.0,0.0
przhevalskoye,ru,"04/19/2020, 11:08:21",55.51,31.85,35.65,82,80,6.29,light rain,0.19,0.0
torbay,ca,"04/19/2020, 11:03:18",47.67,-52.73,32.0,96,90,34.45,snow,0.0,0.0
tura,ru,"04/19/2020, 11:08:21",25.52,90.22,71.31,81,21,5.06,light rain,1.6,0.0
lebu,cl,"04/19/2020, 11:06:34",-37.62,-73.65,61.47,60,100,8.14,overcast clouds,0.0,0.0
longyearbyen,sj,"04/19/2020, 11:08:22",78.22,15.64,35.6,69,40,19.46,shower rain,0.0,0.0
acapulco,mx,"04/19/2020, 11:08:22",16.86,-99.89,82.4,69,75,5.82,broken clouds,0.0,0.0
butaritari,ki,"04/19/2020, 11:04:38",3.07,172.79,83.07,75,14,12.5,light rain,1.53,0.0
nieves,mx,"04/19/2020, 11:08:23",15.33,120.95,82.4,74,75,4.7,broken clouds,0.0,0.0
bonavista,ca,"04/19/2020, 11:08:23",48.65,-53.11,30.6,98,100,31.45,light snow,0.0,1.2
aklavik,ca,"04/19/2020, 11:06:01",68.22,-135.01,15.8,52,75,4.7,broken clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
chiang khong,th,"04/19/2020, 11:08:24",20.26,100.4,84.0,61,58,3.36,broken clouds,0.0,0.0
lapithos,cy,"04/19/2020, 11:08:24",35.34,33.18,68.0,52,0,13.87,clear sky,0.0,0.0
ponta do sol,cv,"04/19/2020, 11:03:12",32.67,-17.1,66.99,44,24,3.0,few clouds,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
port moresby,pg,"04/19/2020, 11:06:28",-9.44,147.18,75.2,100,40,3.36,scattered clouds,0.0,0.0
ostersund,se,"04/19/2020, 11:08:26",63.18,14.64,42.8,70,61,11.41,broken clouds,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
victoria,sc,"04/19/2020, 11:01:48",22.29,114.16,77.0,83,45,8.01,scattered clouds,0.0,0.0
port alfred,za,"04/19/2020, 11:02:48",-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.0
price,us,"04/19/2020, 11:06:08",39.6,-110.81,54.0,21,1,5.06,clear sky,0.0,0.0
vao,nc,"04/19/2020, 11:05:55",-22.67,167.48,76.24,76,96,20.8,light rain,2.77,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
komsomolskiy,ru,"04/19/2020, 11:08:28",40.43,71.72,60.8,41,3,6.93,clear sky,0.0,0.0
mataura,pf,"04/19/2020, 11:03:18",-46.19,168.86,44.01,83,93,5.01,light rain,0.54,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
general pico,ar,"04/19/2020, 11:08:28",-35.66,-63.76,81.77,31,6,2.15,clear sky,0.0,0.0
bekhtery,ua,"04/19/2020, 11:08:29",46.25,32.29,52.0,82,100,3.0,light rain,1.17,0.0
lakatoro,vu,"04/19/2020, 11:08:29",-16.1,167.42,82.04,77,96,5.48,light rain,0.97,0.0
lompoc,us,"04/19/2020, 11:08:29",34.64,-120.46,61.0,67,75,6.93,broken clouds,0.0,0.0
mar del plata,ar,"04/19/2020, 11:03:26",-38.0,-57.56,75.99,57,2,23.04,clear sky,0.0,0.0
chuy,uy,"04/19/2020, 11:03:08",-33.7,-53.46,72.5,63,0,8.7,clear sky,0.0,0.0
hilo,us,"04/19/2020, 11:05:55",19.73,-155.09,75.0,64,20,6.93,light rain,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
diamantino,br,"04/19/2020, 11:08:31",-14.41,-56.45,86.09,56,29,3.74,light rain,0.22,0.0
wagar,sd,"04/19/2020, 11:08:31",16.15,36.2,86.18,11,63,10.58,broken clouds,0.0,0.0
torbay,ca,"04/19/2020, 11:03:18",47.67,-52.73,32.0,96,90,34.45,snow,0.0,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
port blair,in,"04/19/2020, 11:07:08",11.67,92.75,83.88,76,5,8.19,clear sky,0.0,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
souillac,mu,"04/19/2020, 11:08:33",-20.52,57.52,77.0,78,40,11.41,scattered clouds,0.0,0.0
mar del plata,ar,"04/19/2020, 11:03:26",-38.0,-57.56,75.99,57,2,23.04,clear sky,0.0,0.0
ancud,cl,"04/19/2020, 11:04:39",-41.87,-73.82,55.4,82,75,12.75,broken clouds,0.0,0.0
phangnga,th,"04/19/2020, 11:08:34",8.45,98.53,80.6,83,20,2.24,few clouds,0.0,0.0
west des moines,us,"04/19/2020, 11:04:59",41.57,-93.75,59.0,35,20,10.29,few clouds,0.0,0.0
fare,pf,"04/19/2020, 11:08:35",-16.7,-151.02,83.37,77,74,13.98,light rain,0.61,0.0
itaituba,br,"04/19/2020, 11:08:35",-4.28,-55.98,86.0,66,20,0.29,few clouds,0.0,0.0
barrow,us,"04/19/2020, 11:05:02",71.29,-156.79,8.6,84,90,4.7,light snow,0.0,0.0
victoria,sc,"04/19/2020, 11:01:48",22.29,114.16,77.0,83,45,8.01,scattered clouds,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
alta,no,"04/19/2020, 11:09:44",69.97,23.27,39.99,86,94,16.11,overcast clouds,0.0,0.0
peleduy,ru,"04/19/2020, 11:09:45",59.63,112.74,13.17,91,36,2.17,scattered clouds,0.0,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
lebu,cl,"04/19/2020, 11:06:34",-37.62,-73.65,61.47,60,100,8.14,overcast clouds,0.0,0.0
xichang,cn,"04/19/2020, 11:09:46",27.9,102.26,59.29,42,21,1.41,light rain,0.22,0.0
port hardy,ca,"04/19/2020, 11:06:06",50.7,-127.42,48.2,87,90,3.36,overcast clouds,0.0,0.0
new norfolk,au,"04/19/2020, 11:04:38",-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
busselton,au,"04/19/2020, 11:05:56",-33.65,115.33,55.99,58,97,14.7,overcast clouds,0.0,0.0
kenora,ca,"04/19/2020, 11:06:15",49.82,-94.43,30.2,42,75,11.41,broken clouds,0.0,0.0
azanka,ru,"04/19/2020, 11:09:47",58.04,64.79,39.88,69,3,4.88,clear sky,0.0,0.0
kapaa,us,"04/19/2020, 11:03:13",22.08,-159.32,71.01,83,40,5.82,scattered clouds,0.0,0.0
lompoc,us,"04/19/2020, 11:08:29",34.64,-120.46,61.0,67,75,6.93,broken clouds,0.0,0.0
rawson,ar,"04/19/2020, 11:05:26",-43.3,-65.1,65.41,28,91,19.33,overcast clouds,0.0,0.0
esperance,au,"04/19/2020, 11:03:21",-33.87,121.9,51.8,93,6,6.93,clear sky,0.0,0.0
yellowknife,ca,"04/19/2020, 11:03:17",62.46,-114.35,21.2,67,20,14.99,few clouds,0.0,0.0
collie,au,"04/19/2020, 11:09:48",-33.37,116.15,55.99,58,35,4.14,scattered clouds,0.0,0.0
hobart,au,"04/19/2020, 11:03:19",-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.0
lorengau,pg,"04/19/2020, 11:03:13",-2.02,147.27,82.11,78,30,5.06,scattered clouds,0.0,0.0
buraydah,sa,"04/19/2020, 11:07:16",26.33,43.98,78.8,47,20,13.87,few clouds,0.0,0.0
lompoc,us,"04/19/2020, 11:08:29",34.64,-120.46,61.0,67,75,6.93,broken clouds,0.0,0.0
jamestown,sh,"04/19/2020, 11:03:06",42.1,-79.24,51.8,50,75,18.34,broken clouds,0.0,0.0
havoysund,no,"04/19/2020, 11:09:50",71.0,24.66,39.2,80,75,33.33,broken clouds,0.0,0.0
iquique,cl,"04/19/2020, 11:09:50",-20.22,-70.14,71.6,56,2,16.11,clear sky,0.0,0.0
khatanga,ru,"04/19/2020, 11:06:24",71.97,102.5,17.4,94,38,4.81,scattered clouds,0.0,0.0
castro,cl,"04/19/2020, 11:05:50",-24.79,-50.01,73.99,34,2,2.82,clear sky,0.0,0.0
yumen,cn,"04/19/2020, 11:09:51",40.28,97.2,44.76,24,50,18.05,scattered clouds,0.0,0.0
gamba,ga,"04/19/2020, 11:09:51",-2.65,10.0,81.12,83,18,8.12,few clouds,0.0,0.0
meulaboh,id,"04/19/2020, 11:09:52",4.14,96.13,80.02,82,90,3.65,light rain,1.55,0.0
erzin,ru,"04/19/2020, 11:09:52",36.96,36.2,71.6,53,20,11.41,few clouds,0.0,0.0
pangnirtung,ca,"04/19/2020, 11:09:52",66.15,-65.71,5.0,77,20,10.29,few clouds,0.0,0.0
chimore,bo,"04/19/2020, 11:09:53",-16.98,-65.13,91.06,28,0,2.91,clear sky,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
vardo,no,"04/19/2020, 11:09:53",70.37,31.11,37.4,85,75,11.41,broken clouds,0.0,0.0
thompson,ca,"04/19/2020, 11:09:54",55.74,-97.86,19.4,79,90,6.93,light snow,0.0,0.0
punta arenas,cl,"04/19/2020, 11:03:16",-53.15,-70.92,44.6,65,40,41.38,scattered clouds,0.0,0.0
hobart,au,"04/19/2020, 11:03:19",-42.88,147.33,50.0,81,40,10.69,scattered clouds,0.0,0.0
tiksi,ru,"04/19/2020, 11:03:23",71.69,128.87,10.02,86,86,6.93,overcast clouds,0.0,0.0
dikson,ru,"04/19/2020, 11:03:20",73.51,80.55,35.4,88,100,30.65,light rain,0.12,0.0
rikitea,pf,"04/19/2020, 11:03:25",-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
saskylakh,ru,"04/19/2020, 11:04:35",71.92,114.08,15.55,93,0,7.4,clear sky,0.0,0.0
ushuaia,ar,"04/19/2020, 11:03:16",-54.8,-68.3,44.6,75,75,19.46,drizzle,0.0,0.0
bredasdorp,za,"04/19/2020, 10:58:28",-34.53,20.04,62.6,82,4,3.36,clear sky,0.0,0.0
camacha,pt,"04/19/2020, 11:09:56",33.08,-16.33,64.4,63,20,6.93,few clouds,0.0,0.0
soltsy,ru,"04/19/2020, 11:09:57",58.12,30.32,35.91,83,48,5.21,scattered clouds,0.0,0.0
butaritari,ki,"04/19/2020, 11:04:38",3.07,172.79,83.07,75,14,12.5,light rain,1.53,0.0
sala,se,"04/19/2020, 11:09:57",34.04,-6.82,66.2,63,75,14.99,broken clouds,0.0,0.0
cape town,za,"04/19/2020, 11:03:03",-33.93,18.42,64.0,93,20,20.8,few clouds,0.0,0.0
fortuna,us,"04/19/2020, 11:09:58",40.6,-124.16,57.0,76,90,4.54,overcast clouds,0.0,0.0
vaini,to,"04/19/2020, 11:03:09",-21.2,-175.2,77.0,83,20,9.17,few clouds,0.0,0.0
khatanga,ru,"04/19/2020, 11:06:24",71.97,102.5,17.4,94,38,4.81,scattered clouds,0.0,0.0
